individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
Q251259,Ibn Tufayl,Q251259,1110,Morocco,,"The specific details about Ibn Tufayl's family background, including his parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages, are not well-documented. Ibn Tufayl, also known as Abu Bakr Muhammad ibn Abd al-Malik ibn Muhammad ibn Tufail al-Qaisi al-Andalusi, was a philosopher, astronomer, physician, and poet from the 12th century Al-Andalus, but the records about his early life and family background are scarce. Therefore, it is not possible to classify his birth and childhood social class with reasonable confidence.","The primary source of information about Ibn Tufayl is his philosophical novel, ""Hayy ibn Yaqzan,"" but it does not provide specific details about his family background. Other potential sources could include historical texts from the period and region, but these are not readily available or may not have survived. Further research in academic databases or archives specializing in the history of Al-Andalus may provide more information."
Q355633,Cosmas Indicopleustes,Q355633,600,Egypt,,"The exact social class of Cosmas Indicopleustes at the time of his birth and childhood is difficult to determine due to the lack of specific historical records regarding his early life. Cosmas Indicopleustes, also known as Cosmas the Monk, was a Greek merchant and later hermit from Alexandria of Egypt. While his later life as a merchant and traveler is well-documented in his own works, such as the ""Christian Topography,"" there is little to no information available about his family background, parents' occupations, or early life living conditions. His access to education is also unclear, though his writings suggest he was literate and well-educated, possibly indicating a middle-class upbringing. However, without more concrete evidence, it is impossible to definitively classify his social class at birth.","""Christian Topography"" by Cosmas Indicopleustes; ""Cosmas Indicopleustes, A Greek Monk, Misnamed 'The Indian Navigator', His Identity and Works"" by Winstedt, E.O. (1913); ""Cosmas Indicopleustes and His World"" by Wolska-Conus, W. (1968)."
Q51884,John of Damascus,Q51884,675,Palestine,Elite,"John of Damascus was born into a wealthy Christian family of the Byzantine nobility. His father, Sergius Mansur, was a high-ranking official in the Umayyad Caliphate, serving as the fiscal administrator of Syria. This position would have placed the family in the upper echelons of society, with access to wealth, education, and other privileges. John's early education was overseen by a Sicilian monk, Cosmas, who had been purchased from slavery by John's father, indicating the family's wealth and their ability to provide a high-quality education for their son. The family's residence in Damascus, a major city and the capital of the Umayyad Caliphate, also suggests a high standard of living.","""John of Damascus: The Heresy of the Ishmaelites"" (8th century text); ""The Orthodox Church in the Arab World, 700-1700: An Anthology of Sources"" (2014, edited by Samuel Noble and Alexander Treiger); ""John of Damascus, First Apologist to the Muslims: The Trinity and Christian Apologetics in the Early Islamic Period"" (2006, by Daniel J. Janosik)."
Q299200,Judah Halevi,Q299200,1075,Palestine,Middle Class,"Judah Halevi was born in Tudela, in the Kingdom of Navarre, now part of Spain, not Palestine. His exact birth date is uncertain, but it is generally accepted to be around 1075. His family background and early life are not well-documented, but it is known that he was born into a Jewish family. In the 11th century, Jews in Spain were generally part of the middle class, often working as merchants, artisans, or in other skilled professions. While there is no specific information about Halevi's parents' occupations, it is likely that they were part of this middle-class Jewish community. Halevi's early access to education, which was not common among the lower classes, also suggests a middle-class background. His family likely had enough wealth to provide him with a basic education, and possibly more. However, there is no evidence to suggest that Halevi was born into the elite ruling class or that he was part of a subsistence-level family.","""The Kuzari: In Defense of the Despised Faith"" by Judah Halevi, ""The Dream of the Poem: Hebrew Poetry from Muslim and Christian Spain, 950-1492"" by Peter Cole, ""The Jews of Spain: A History of the Sephardic Experience"" by Jane S. Gerber."
Q969758,Gregory of Narek,Q969758,951,Turkey,Elite,"Gregory of Narek was born into a family of high ecclesiastical and educational standing. His father, Bishop Khosrov Andzevatsi, was a well-respected religious figure, which would have placed the family in the elite class of the time. The family's status would have provided Gregory with access to a high level of education from an early age, a privilege not commonly available to those outside the elite class. Furthermore, Gregory's mother was a relative of Anania Mokatsi, a famous scholar and translator, suggesting that the family was well-connected within the intellectual and religious elite. The family's housing and living conditions would have been comfortable, as befits their status. However, specific details about their wealth or inherited privileges are not well-documented.","""The Life of St. Gregory of Narek"" by Thomas J. Samuelian, ""The Armenian Church"" by Vrej Nersessian."
Q218672,Maximus Planudes,Q218672,1260,Turkey,,"The birth circumstances and family background of Maximus Planudes, a Byzantine Greek monk and scholar, are not well-documented. There is little to no information available about his parents' occupations, family wealth, access to education due to family background, early life housing and living conditions, or inherited privileges or disadvantages. It is known that he was born in Constantinople (modern-day Istanbul, Turkey), but the specifics of his family and social class origins remain unclear. Given the limited information, it is not possible to classify his birth and childhood social class with reasonable confidence.","Primary sources about Maximus Planudes' early life are scarce. Potential sources that could provide this information include Byzantine historical texts or scholarly works on Byzantine society in the 13th century. However, these sources are not guaranteed to contain specific information about Planudes' family background."
Q317632,John Philoponus,Q317632,490,Egypt,Middle Class,"John Philoponus, also known as John the Grammarian, was born in Alexandria, Egypt, around 490 AD. His family background is not extensively documented, but it is known that he received a high level of education, suggesting that his family had at least some means. Philoponus studied under the tutelage of Ammonius Hermiae, a prominent philosopher of the time, indicating that his family could afford to provide him with a good education. This suggests that his family was likely part of the middle class, as education in this period was generally reserved for those with resources. However, there is no evidence to suggest that his family was part of the elite or ruling class, nor that they were subsistence-level laborers or peasants.","""John Philoponus"" by Christian Wildberg in Stanford Encyclopedia of Philosophy; ""John Philoponus: New Definition of Prime Matter: Aspects of its Background in Neoplatonism and the Ancient Commentary Tradition"" by Frans A. J. de Haas."
Q132984,Shota Rustaveli,Q132984,1172,Palestine,,"Shota Rustaveli is a celebrated Georgian poet and author of the epic poem ""The Knight in the Panther's Skin"". However, very little is known about his personal life and background. The exact date and place of his birth are not confirmed, and there is no reliable information about his family's social standing, wealth, or occupation. His birthplace is often assumed to be Rustavi, a city in modern-day Georgia, not Palestine. The assumption of his elite status is often made based on his education and his service at the court of Queen Tamar of Georgia, but these are aspects of his later life and cannot be used to determine his birth and childhood social class. Therefore, it is not possible to classify Rustaveli's social origin and family circumstances with reasonable confidence.","The primary source for information about Rustaveli is his own work, ""The Knight in the Panther's Skin"", but it does not provide details about his family background. Secondary sources include various scholarly articles and books on Georgian literature and history, but they also lack specific information about Rustaveli's birth and childhood."
Q380295,Bar Hebraeus,Q380295,1226,Iran,Middle Class,"Bar Hebraeus, also known as Gregory Bar Hebraeus, was born in 1226 in Melitene (now Malatya, Turkey), not Iran. His father, Aaron, was a Jewish physician who converted to Christianity. This suggests that his family was of the middle class, as physicians were typically skilled professionals and not part of the subsistence class. However, they were also not part of the elite class, as they were not nobility or wealthy aristocrats. The family's conversion to Christianity, a minority religion in the region at the time, suggests they did not have significant inherited privileges. The fact that Bar Hebraeus became a well-known scholar and bishop suggests he had access to education, but this was likely due to his father's profession and not because of inherited wealth or status.","""Bar Hebraeus"" by Hidemi Takahashi, published in the Encyclopedia of Arabic Language and Linguistics, Volume 1; ""Bar Hebraeus: A Bio-Bibliography"" by Hidemi Takahashi."
Q380089,Fulgentius of Ruspe,Q380089,468,Tunisia,Elite,"Fulgentius of Ruspe was born into a Roman senatorial family, which places him in the elite class of society. His family was wealthy and of high social standing, as indicated by their senatorial status. This would have provided him with access to education and comfortable living conditions, as well as certain inherited privileges. However, his family's wealth was confiscated when Fulgentius was still young, due to their opposition to the Arian Vandal king. Despite this, his birth and early childhood were marked by the privileges of the elite class.","""Fulgentius, Saint, Bishop of Ruspe."" Encyclopædia Britannica. Encyclopædia Britannica, Inc., 2021. Web. 20 Dec. 2021."
Q313605,Wang Wei,Q313605,699,China,Elite,"Wang Wei was born into a wealthy and influential family in the Tang Dynasty. His father, Wang Chulian, was a government official, which indicates that the family had a high social standing. This status would have provided Wang Wei with access to education and resources that were not available to those of lower classes. The family's wealth and status would have also ensured that Wang Wei lived in comfortable conditions during his early life. The fact that Wang Wei's family was able to provide him with a good education suggests that they had considerable wealth and influence. Furthermore, being born into a family with a government official would have given Wang Wei certain inherited privileges, such as connections within the government and society.","""Wang Wei."" Encyclopædia Britannica. Encyclopædia Britannica, inc., n.d. Web. 10 Dec. 2021. <https://www.britannica.com/biography/Wang-Wei-Chinese-poet>."
Q7071,Li Bai,Q7071,701,China,Elite,"Li Bai, also known as Li Po, was born into a wealthy aristocratic family in the Tang Dynasty. His father, Li Ke, was a friend of the reigning emperor and held a high-ranking position in the imperial court. This suggests that Li Bai was born into the elite class of society. His family's wealth and status would have provided him with access to a high-quality education, even though there is no specific record of his early education. His family's wealth would also have ensured comfortable living conditions. However, Li Bai's family moved to Sichuan when he was five, which might suggest some change in their circumstances, but they remained a part of the aristocracy.","""Li Bai: His Life and Legacy,"" by William Hung; ""The Poet Li Po,"" by Arthur Waley; ""Li Bai and Du Fu: An Analysis of Their Poems and Artistic Themes,"" by Shu-hui Wu."
Q11826,Al-Biruni,Q11826,973,Afghanistan,Middle Class,"Al-Biruni, also known as Abū Rayḥān Muḥammad ibn Aḥmad Al-Bīrūnī, was born in the city of Kath, Khwarezm, which is now a part of modern-day Uzbekistan, not Afghanistan. His exact family background is not well-documented, but it is known that he was able to receive a comprehensive education from a young age, suggesting that his family had some means. This education included various fields such as mathematics, astronomy, and languages, which were typically accessible to those of a certain social standing. However, there is no evidence to suggest that his family was part of the ruling elite or nobility. Therefore, it is most likely that Al-Biruni came from a middle-class family that valued education and had the resources to provide it.","""Al-Biruni"" by J. J. O'Connor and E. F. Robertson, School of Mathematics and Statistics, University of St Andrews, Scotland. ""Al-Biruni: Master Astronomer and Muslim Scholar of the Eleventh Century"" by Susan Sinnott."
Q231603,Sei Shōnagon,Q231603,966,Japan,Elite,"Sei Shōnagon was born into a family of the court nobility, which was the ruling class in Japan during the Heian period (794-1185). Her father, Kiyohara no Motosuke, was a poet and a provincial governor, a position that was typically held by members of the elite class. The Kiyohara clan, to which she belonged, was a prominent literary family. This suggests that she had access to education and literary training from an early age, a privilege typically reserved for the elite class. Her family's wealth and social standing would have also provided her with comfortable living conditions. However, the exact extent of her family's wealth at the time of her birth and childhood is not well-documented.","""The Pillow Book"" by Sei Shōnagon, ""The World of the Shining Prince: Court Life in Ancient Japan"" by Ivan Morris, ""Sei Shōnagon's Poetic Spaces: Exploring The Pillow Book"" by Linh Vu."
Q36020,Su Shi,Q36020,1037,China,Elite,"Su Shi, also known as Su Dongpo, was born into a literati family in Meishan, near Mount Omei in Sichuan Province, China. His father, Su Xun, and his younger brother, Su Zhe, were both renowned literati figures. The Su family was part of the scholarly gentry, a social class that held prestige and power in Song Dynasty China. This class was characterized by their education and their role in the civil service, as they often held government positions. Su Shi's father, Su Xun, was a well-known writer and scholar, indicating that the family had access to education and intellectual resources. The family's status would have provided Su Shi with access to a high level of education from a young age, a privilege not available to those of lower social classes. The family's living conditions and wealth are not explicitly detailed in historical sources, but their status as literati and civil servants suggests a level of wealth and comfort above that of the average citizen.","""Su Shi,"" Encyclopædia Britannica, https://www.britannica.com/biography/Su-Shi; ""The Su Shi (Su Dongpo): The First Man in the World,"" China Culture, https://www.chinaculture.org/gb/en_aboutchina/2003-09/24/content_22894.htm; ""Su Dongpo,"" World Digital Library, https://www.wdl.org"
Q33772,Du Fu,Q33772,712,China,Elite,"Du Fu was born into a scholarly elite family. His father, Du Shenyan, was a noted poet and an official of the Tang Dynasty, which indicates a high social standing. The family's wealth and status would have provided Du Fu with access to a high-quality education from a young age, which was a privilege not available to those of lower social classes. The family's living conditions would have been comfortable, reflecting their elite status. However, it's important to note that Du Fu's family had lost much of its wealth by the time of his birth due to the political turmoil of the late Tang Dynasty, but they retained their aristocratic status.","""Du Fu: A Life in Poetry"" by David Young; ""The Age of Confucian Rule: The Song Transformation of China"" by Dieter Kuhn; ""The Cambridge History of Chinese Literature"" by Kang-i Sun Chang and Stephen Owen."
Q180967,Adi Shankara,Q180967,788,India,Middle Class,"Adi Shankara was born in Kalady, a village in what is now the southern Indian state of Kerala. His parents, Sivaguru and Aryamba, were Brahmins, the highest varna (caste) in the traditional Hindu social hierarchy. Sivaguru was a scholar and a priest, which suggests a middle-class background according to the specified typology. While the family was not wealthy, they were respected for their knowledge and religious duties. Shankara's access to education was likely due to his family's Brahmin status, as Brahmins were traditionally responsible for teaching and maintaining religious texts. The family's living conditions would have been modest, in line with their status as scholarly, religious Brahmins. There is no evidence of inherited privileges or disadvantages beyond those associated with the Brahmin caste.","""Shankara and Indian Philosophy"" by Natalia Isayeva, ""A History of Early Vedanta Philosophy"" by Hajime Nakamura, ""The Brahmins of India"" by K. S. Singh."
Q81731,Murasaki Shikibu,Q81731,970,Japan,Elite,"Murasaki Shikibu was born into a noble family, specifically the Fujiwara clan, which was the most powerful family in Japan during the Heian period. Her father, Fujiwara no Tametoki, was a scholar and a provincial governor, indicating a high social standing. The Fujiwara clan's wealth and influence would have provided Murasaki with a comfortable upbringing and access to education, which was a privilege not commonly afforded to women during this time. Her housing and living conditions would have been of high quality, befitting a member of the aristocracy. The Fujiwara clan's dominance in the political sphere would have also granted her certain inherited privileges.","""The Diary of Lady Murasaki"" by Murasaki Shikibu, ""The World of the Shining Prince: Court Life in Ancient Japan"" by Ivan Morris, ""The Tale of Genji: A Reader's Guide"" by William J. Puette."
Q312458,Jami,Q312458,1414,Afghanistan,Elite,"Jami, whose full name is Nur ad-Din Abd ar-Rahman Jami, was born into a family of scholars and theologians. His father, Nizām al-Dīn 'Abd al-Rahmān bin Ahmad, was a well-known scholar and served as a judge (Qadi) in Jam, a small town in Khorasan, which was a region of high cultural and intellectual significance in the Islamic world. This suggests that Jami's family was part of the intellectual elite of their society. In terms of education, Jami was able to study at the prestigious Nizamiyya Madrasa in Herat, which was one of the most renowned educational institutions of the Islamic world at the time. This access to high-quality education further indicates his family's elevated social status. However, there is no specific information available about the family's wealth or living conditions.","""Jami (1414–1492)."" Encyclopedia of Islam and the Muslim World. Ed. Richard C. Martin. Vol. 1. Gale, 2004. p. 363-364. ""Jami."" Encyclopædia Iranica, online edition, 2012. Available at: http://www.iranicaonline.org/articles/jami-poet"
Q9397,Zhu Xi,Q9397,1130,China,Elite,"Zhu Xi was born into a family of literati, a social class that was part of the elite in Song Dynasty China. His father, Zhu Song, was a government official, a position that was highly respected and well-compensated. This indicates that the family had a considerable amount of wealth and social standing at the time of Zhu Xi's birth. Furthermore, Zhu Xi's access to education was likely due to his family background. In Song Dynasty China, education was a privilege of the elite, and Zhu Xi's family would have had the resources to provide him with a high-quality education. His early life housing and living conditions would have been comfortable, reflecting the family's wealth and status. As a member of the literati class, Zhu Xi would have inherited certain privileges, such as the opportunity to pursue a career in government service.","""Zhu Xi's Reading of the Analects: Canon, Commentary, and the Classical Tradition"" by Daniel K. Gardner; ""The World of Thought in Ancient China"" by Benjamin I. Schwartz; ""The Cambridge History of China: Volume 5, The Sung Dynasty and Its Precursors, 907-1279"" edited by Denis Twitchett and Paul Jakov Smith."
Q302936,Sidonius Apollinaris,Q302936,430,France,Elite,"Sidonius Apollinaris was born into a wealthy Gallo-Roman aristocratic family. His father, Apollinaris the Elder, was a Prefect of Gaul, a high-ranking position in the late Roman Empire, indicating their elite status. The family's wealth and social standing would have provided Sidonius with access to a high-quality education, which was a privilege reserved for the upper classes during this period. The family likely lived in a large, well-appointed home, as was typical for the aristocracy. Sidonius would have inherited the privileges associated with his family's elite status, including political influence and economic security.","Sidonius Apollinaris's own writings provide a wealth of information about his family background and early life. His letters, in particular, offer insight into his family's wealth and social standing. Additionally, secondary sources such as ""The World of Sidonius Apollinaris: Life and Letters in Late-Antique Gaul"" by Jill Harries provide further context and analysis."
Q315370,Celsus,Q315370,200,Italy,,"The historical figure Celsus, born around 200 AD in what is now Italy, is a somewhat enigmatic figure. There are several historical figures named Celsus from this period, including a philosopher, a medical writer, and a few others. Without more specific information, it's difficult to determine which Celsus you're referring to. Furthermore, even if we knew which Celsus you were referring to, the social origins and family circumstances of many historical figures from this period are not well-documented. Therefore, it's not possible to classify the birth and childhood social class of Celsus with reasonable confidence.","The primary sources that might provide this information would be ancient texts and inscriptions, but these are often fragmentary and difficult to interpret. Secondary sources would include scholarly books and articles on the history of Italy in the late 200s AD, but these are likely to focus more on the political and cultural history of the period rather than the social origins of specific individuals."
Q129772,Xenophon,Q129772,-429,Greece,Elite,"Xenophon was born into an affluent family in the city of Athens, one of the most powerful city-states in ancient Greece. His father Gryllus, was a member of the equestrian class, which was a wealthy and influential group in Athenian society. This suggests that Xenophon was born into the elite class. His family's wealth and status would have provided him with access to education and a comfortable early life. The equestrian class was known for its wealth and its members often owned large estates. This suggests that Xenophon's early life housing and living conditions were likely to have been comfortable and privileged.","Xenophon's own writings, such as the ""Anabasis"" and ""Hellenica"", provide some information about his background. Other sources include later historians and biographers who have studied his life and works."
Q177847,Lucian of Samosata,Q177847,120,Greece,Middle Class,"Lucian of Samosata was born in the Roman province of Syria, in the city of Samosata, around 125 AD. His family was not of the elite class, but they were not subsistence level either. His father was a lower-middle-class sculptor or stonemason, which allowed Lucian to have some access to education. Lucian himself mentions in his writings that he was apprenticed to his uncle to learn the family trade of sculpting, but he left this trade to pursue his education, which suggests that his family had enough resources to allow him this opportunity. His early life housing and living conditions would have been modest, typical of a craftsman's family in that era. There is no evidence of any inherited privileges or significant disadvantages.","Lucian's own writings, particularly ""The Dream"" or ""The Cock,"" provide some insight into his early life and family background. Further information can be found in ""Lucian of Samosata in the Two Hesperias: An Essay in Literary and Cultural Translation"" by R. Bracht Branham."
Q451550,Philodemus,Q451550,-109,Italy,Middle Class,"Philodemus was born in Gadara (modern-day Jordan), not Italy, around 110 BC. His family background is not well-documented, but it is known that he received a good education, suggesting that his family had at least some means. He studied under the Epicurean philosopher Zeno of Sidon, which would have required financial resources. However, there is no evidence to suggest that his family was part of the ruling elite or nobility. Therefore, it is most likely that Philodemus came from a middle-class background.","The primary source for information on Philodemus is his own writings, as well as those of his contemporaries. However, these focus primarily on his philosophical teachings and not his early life or family background. For more information on his life and times, see ""Philodemus and Poetry: Poetic Theory and Practice in Lucretius, Philodemus, and Horace"" by Dirk Obbink."
Q109598,Tibullus,Q109598,-50,Italy,Elite,"Albius Tibullus, known as Tibullus, was born into a wealthy equestrian family in Rome around 55-50 BC. The equestrian class was a social class of Rome below the senatorial class but above the common citizens, and it was largely composed of wealthy landowners. Tibullus' family owned a large estate in the countryside, which suggests that they were quite affluent. Although there is not much information about his parents' specific occupations, their wealth and status as landowners would have placed them in the elite class. Tibullus' access to education, which was usually reserved for the elite, further supports this classification. His early life housing and living conditions would have been comfortable, given his family's wealth.","Ovid's ""Amores"" (3.9.31-34), Horace's ""Satires"" (1.10.29-34), and the works of Tibullus himself provide some information about his family background and early life. Modern scholarly references include ""The Elegies of Albius Tibullus"" by Kirby Flower Smith and ""The Cambridge History of Classical Literature"" by E. J. Kenney and W. V. Clausen."
Q316123,Silius Italicus,Q316123,26,Italy,Elite,"Silius Italicus was born into a wealthy and influential family in the Roman Empire. His family was of the equestrian order, which was the lower of the two aristocratic classes of Rome, just below the senatorial class. The equestrian order was a wealthy class, and its members often held high-ranking positions in the Roman government. Silius Italicus' family wealth and status would have afforded him a high-quality education, a privilege not available to the lower classes. His early life housing and living conditions would have been comfortable and luxurious, reflecting his family's wealth and status. He would have inherited the privileges of his family's social standing, including the opportunity to pursue a career in politics or law.","The primary source for information on Silius Italicus is his own work, the Punica, as well as references to him in the works of other Roman authors such as Martial and Juvenal. For more detailed information on the social structure of the Roman Empire, see The Cambridge Companion to the Roman Republic (Harriet I. Flower, ed., Cambridge University Press, 2004) and Social Class in the Roman Republic (George William Mallory, University of California Press, 1962)."
Q705919,Rutilius Claudius Namatianus,Q705919,400,France,Elite,"Rutilius Claudius Namatianus was born into a wealthy and influential family in Gaul (modern-day France) around 400 AD. His family was part of the Roman aristocracy, which was the ruling class at the time. His father was likely a high-ranking official in the Roman administration, as it was common for such positions to be held by members of the aristocracy. This would have provided the family with considerable wealth and social standing. As a member of the aristocracy, Namatianus would have had access to a high level of education from a young age, which was a privilege reserved for the elite. His early life housing and living conditions would have been comfortable and luxurious, reflecting his family's wealth and status. He would have inherited the privileges associated with being a member of the ruling class, including political influence and social connections.","The primary source of information on Namatianus is his own work, ""De Reditu Suo"", in which he describes his journey from Rome to Gaul. Although this work does not provide direct information on his family background, it does provide insights into his education and social standing, which suggest that he was born into the elite class. Other sources include historical texts and scholarly works on the Roman aristocracy and social structure in Gaul during the late Roman Empire."
Q381874,Gaius Musonius Rufus,Q381874,25,Italy,Elite,"Gaius Musonius Rufus was born into an equestrian family, which was the second highest social class in Rome after the senatorial class. The equestrians were a wealthy class, often involved in business, and had significant political influence. Although specific details about Rufus' parents' occupations are not available, his equestrian status suggests that his family was wealthy and had a high social standing. This would have given him access to education and comfortable living conditions. However, it's important to note that while the equestrians were wealthy, they were not part of the ruling class or nobility.","The primary source for information about Rufus' life is his own philosophical teachings, as recorded by his students. These teachings do not provide specific details about his family background, but they do indicate that he was an equestrian. Other sources include references to Rufus in the works of other Roman authors, such as Tacitus and Pliny the Younger."
Q44344,Hilary of Poitiers,Q44344,315,France,Elite,"Hilary of Poitiers was born into a wealthy pagan family in the late Roman Empire. His family was part of the aristocracy, which was the ruling class during this period. His parents were likely landowners and had significant social standing. Hilary's access to education was also a result of his family's wealth and status. He received a good education, which was a privilege not available to everyone during this time. His early life housing and living conditions would have been comfortable, reflecting his family's wealth. As a member of the aristocracy, Hilary would have inherited certain privileges, such as access to power and influence, which were not available to those of lower social classes.","""Hilary of Poitiers: His Life and Impact"" by Michael Ovey, ""The Oxford Dictionary of the Christian Church"" edited by F. L. Cross, E. A. Livingstone."
Q365183,Themistius,Q365183,317,Turkey,Elite,"Themistius was born into a family of considerable standing in Paphlagonia, a region in what is now modern-day Turkey. His father, Eugenius, was a teacher of rhetoric, a profession that was highly respected and well-compensated in the Roman Empire, suggesting a level of wealth and social standing. This allowed Themistius to receive a high-quality education from his father, a privilege not accessible to those of lower social classes. The family's wealth and status would have also afforded them comfortable living conditions. While specific details about their housing or inherited privileges are not well-documented, the family's professional status and ability to provide a high-quality education suggest they were part of the elite class.","""Themistius and His World"" by Heather and Robert Garland; ""The Roman Empire from Severus to Constantine"" by Patricia Southern."
Q162593,Pelagius,Q162593,360,Palestine,,"The birth circumstances and family background of Pelagius, a Christian ascetic who advocated for free will, are largely unknown. There is no concrete historical evidence that provides details about his parents' occupations, family wealth, access to education, early life housing and living conditions, or inherited privileges or disadvantages. What is known is that he was likely born in the British Isles, not Palestine, and that he was well-educated, suggesting he may have come from a family of some means. However, this is speculative and not based on primary sources.","The primary sources that mention Pelagius, such as the writings of Augustine of Hippo and Jerome, focus on his theological ideas and controversies, not his early life or family background. Secondary sources, like ""Pelagius: Life and Letters"" by B.R. Rees, also do not provide specific information about his social origins."
Q8018,Augustine of Hippo,Q8018,354,Algeria,Middle Class,"Augustine of Hippo was born in Thagaste, in the Roman province of Numidia, present-day Algeria. His father, Patricius, was a small landowner and a minor official in the local town. His mother, Monica, was a devout Christian. The family was not wealthy, but they had enough resources to provide Augustine with a good education. Augustine's parents sent him to study in Carthage, a significant expense that indicates they were not subsistence level. However, they were also not part of the elite ruling class or nobility. Augustine's early life housing and living conditions would have been modest but comfortable, typical of the Roman middle class. He did not inherit significant privileges or disadvantages due to his family background.","1. ""Augustine of Hippo: A Biography"" by Peter Brown
2. ""The Confessions of Saint Augustine"" by Augustine of Hippo
3. ""Augustine: The City of God against the Pagans"" by Augustine of Hippo
4. ""The Life of St. Augustine"" by Possidius of Calama."
Q159905,Hipparchus,Q159905,-189,Turkey,,"The birth circumstances and family background of Hipparchus, the ancient Greek astronomer, are largely unknown. There are no surviving records that detail his parents' occupations, family wealth, access to education, early life housing and living conditions, or inherited privileges or disadvantages. It is known that he was born in Nicaea, Bithynia (now Iznik, Turkey), but this does not provide sufficient information to classify his social class at birth. His works suggest a high level of education, but it is unclear if this was due to his family background or his own merit.","The primary sources for information on Hipparchus are his own works and references to him in the works of other ancient authors. However, these sources focus on his scientific achievements and do not provide information on his birth circumstances or family background. Further information might potentially be found in archaeological evidence or local historical records from Nicaea, but these have not been discovered or are not currently accessible."
Q44258,Basil of Caesarea,Q44258,329,Turkey,Elite,"Basil of Caesarea was born into a wealthy and noble Christian family. His father, also named Basil, was a renowned rhetorician and his mother, Emmelia, was the daughter of a martyr. His family owned extensive estates in the province of Pontus, which suggests significant wealth. Basil was one of ten children, many of whom also became saints, indicating a level of privilege and access to religious education. His grandmother, Macrina the Elder, was a disciple of Gregory Thaumaturgus, further indicating the family's high social standing and access to religious figures. Basil's early education was overseen by his father and his grandmother, suggesting a level of wealth and privilege that allowed for private education at home.","""Life and Works of Saint Basil the Great"" by Philip Schaff, ""Basil of Caesarea"" by Stephen M. Hildebrand, ""The Cappadocians"" by Anthony Meredith."
Q342416,Arnobius,Q342416,255,Tunisia,,"The birth circumstances and family background of Arnobius, a Christian apologist of the 4th century, are largely unknown. There is no surviving primary source information about his parents, their occupations, or their social standing. His early life, including his access to education, housing, and living conditions, is also not documented in any surviving historical sources. While Arnobius was a noted rhetorician and teacher in Sicca Veneria (modern-day El Kef, Tunisia), there is no evidence to suggest that this was due to inherited privilege or family wealth, as opposed to his own personal merit. The lack of information makes it impossible to classify his birth and childhood social class with any reasonable confidence.","The primary source for information about Arnobius is his own work, ""Against the Heathen"" (Adversus Nationes), but this does not provide information about his early life or family background. Secondary sources, such as ""The Early Christian Apologists and Greek Philosophy"" by H. Chadwick, also do not provide this information."
Q33941,Julian,Q33941,331,Iraq,Elite,"Julian, also known as Julian the Apostate, was born into the Constantinian dynasty, a ruling family of the Roman Empire. His father was Julius Constantius, a high-ranking official who was the half-brother of Constantine the Great, the Roman Emperor. His mother, Basilina, was also of noble birth. Julian's family was wealthy and powerful, and he was raised in an environment of privilege. He had access to a high level of education because of his family background, studying under some of the most renowned scholars of his time. His early life housing and living conditions would have been luxurious, befitting his status as a member of the imperial family. However, he also inherited the disadvantages of his birth, including the political instability and danger that came with being a potential claimant to the throne.","Ammianus Marcellinus's ""Res Gestae,"" a primary source that provides a detailed account of Julian's life; ""The Later Roman Empire"" by A.H.M. Jones, a comprehensive study of the period that includes information on Julian's family background."
Q191734,Gregory of Nyssa,Q191734,400,Turkey,Elite,"Gregory of Nyssa was born into a wealthy and influential Christian family in the region of Cappadocia, in modern-day Turkey. His family was of the aristocratic class, with his father, Basil the Elder, being a renowned rhetorician and his mother, Emmelia, coming from a distinguished family. His family owned estates and had a high social standing in the region. Gregory's family was also highly educated, with his brother Basil the Great and sister Macrina both becoming influential figures in the early Christian church. This suggests that Gregory would have had access to education and resources due to his family's wealth and status. His early life housing and living conditions would have been comfortable, reflecting his family's wealth and status.","""The Life of St. Gregory of Nyssa"" by Sulpicius Severus, ""The Life and Writings of Gregory of Nyssa"" by Jean Daniélou, ""The Cappadocians"" by Anthony Meredith."
Q192638,Apollonius of Rhodes,Q192638,-294,Egypt,,"The birth circumstances and family background of Apollonius of Rhodes are largely unknown. There are no surviving primary sources that provide specific details about his parents' occupations, family wealth, access to education due to family background, early life housing and living conditions, or inherited privileges or disadvantages. While it is known that he was born in Alexandria, Egypt around 294 BC and later became a renowned poet and scholar, the specifics of his social origin and family circumstances prior to his fame are not documented in any surviving historical records.","The main sources of information about Apollonius are his own works, particularly the Argonautica, and secondary sources such as the Suda, a 10th-century Byzantine encyclopedia. However, these sources focus on his literary career and do not provide information about his early life or family background."
Q359945,Melito of Sardis,Q359945,100,Turkey,,"The birth circumstances and family background of Melito of Sardis, born around 100 AD in what is now Turkey, are largely unknown. The primary sources available do not provide specific information about his parents' occupations, family wealth, access to education due to family background, early life housing and living conditions, or inherited privileges or disadvantages. Melito was a Christian bishop and apologist, and most of the information about him comes from his own writings and those of other early Christian writers, which focus on his religious beliefs and activities rather than his personal background. It is therefore not possible to classify his birth and childhood social class with reasonable confidence.","The primary sources for information about Melito of Sardis are his own writings and those of other early Christian writers such as Eusebius of Caesarea, who wrote a Church History in the early 4th century AD. These sources do not provide specific information about Melito's family background or social class."
