,index,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
42,Q559929,Bernard Picart,Q559929,1673,Netherlands,Middle Class,"Bernard Picart was born in Paris, France, in 1673, to Etienne Picart and Cecile Bulot. His father, Etienne, was a well-known engraver, indicating that the family was likely part of the middle class, as engraving was a skilled craft. The family's ability to provide Bernard with an education in his father's craft suggests they had some level of financial stability and resources. However, there is no evidence to suggest that they were part of the elite or ruling class, nor that they were subsistence-level laborers or peasants. Bernard's early life housing and living conditions are not well-documented, but his father's occupation suggests they were likely adequate for the time. There is no evidence of any inherited privileges or disadvantages.","""Bernard Picart and the First Global Vision of Religion"" by Lynn Hunt, Margaret C. Jacob, and Wijnand Mijnhardt; ""Bernard Picart (1673–1733): Engraving as Cultural Communication in the République des Lettres"" by Thomas M. Bayer and John R. Page."
43,Q314275,Quinten Metsys,Q314275,1466,Belgium,Middle Class,"Quinten Metsys was born in Leuven, Belgium, around 1466. His father, Josse Metsys, was a blacksmith, which was a skilled trade during this time period. This would have placed the family in the middle class, as they were not nobility or landowners, but also not laborers or peasants. The family would have had a moderate level of wealth from the blacksmith business, allowing Quinten to have some access to education. However, there is no evidence to suggest that the family was particularly wealthy or that Quinten had any inherited privileges. The family's housing and living conditions would have been typical for a middle-class family in late 15th century Belgium.","""Quentin Massys (Metsys) | Biography, Art, & Facts."" Encyclopedia Britannica. https://www.britannica.com/biography/Quentin-Massys. ""Quentin Metsys | Flemish painter."" Encyclopedia Britannica. https://www.britannica.com/biography/Quentin-Metsys."
44,Q43522,Antoni van Leeuwenhoek,Q43522,1632,Netherlands,Middle Class,"Antoni van Leeuwenhoek was born in Delft, Netherlands, in 1632. His father, Philips Antonisz van Leeuwenhoek, was a basket maker, and his mother, Margaretha (Bel van den Berch), came from a family of brewers. Both occupations were skilled trades, suggesting a middle-class background. After his father's death when Antoni was just five years old, his mother remarried a painter, another skilled trade. Antoni himself was sent to a school in Warmond for basic education, indicating that his family had the means to provide him with an education, a privilege not afforded to everyone in the 17th century. His family's ability to send him to school and the skilled trades of his parents and stepfather suggest a middle-class upbringing.","Dobell, Clifford (1960). Antony van Leeuwenhoek and His ""Little Animals"": being some account of the father of protozoology and bacteriology and his multifarious discoveries in these disciplines (Dover Publications ed.). New York: Harcourt, Brace and Company."
45,Q355406,Paulus Potter,Q355406,1625,Netherlands,Middle Class,"Paulus Potter was born in Enkhuizen, Netherlands, around 1625. His father, Pieter Potter, was a painter and art dealer, which would place the family within the middle class according to the provided typology. The family was not of noble or aristocratic lineage, nor were they laborers or peasants. The occupation of art dealer suggests some level of wealth, but not to the extent of the elite class. Additionally, Paulus Potter's access to education in the form of painting lessons from his father also indicates a middle-class upbringing, as this would have required some disposable income and leisure time. The family moved to Amsterdam when Potter was a child, which was a thriving center of commerce and culture at the time, suggesting they had the means to live in such a location.","""Paulus Potter: His Works and Their Meaning"" by Amy Golahny; ""Dutch Seventeenth-Century Genre Painting: Its Stylistic and Thematic Evolution"" by Wayne Franits."
46,Q454603,Jodocus Hondius,Q454603,1563,Netherlands,Middle Class,"Jodocus Hondius was born in Wakken and grew up in Ghent, both in present-day Belgium. His father was a notary, which was a respected profession in the 16th century, requiring literacy and legal knowledge. This suggests that the family was not of the subsistence class, as such a profession would not have been accessible to them. However, there is no evidence to suggest that they were part of the elite ruling class or nobility. The fact that Hondius later became an apprentice in the arts suggests that his family had enough resources to provide him with an education, which was not a given for everyone in the late 16th century. This further supports the classification of his family as middle class.","""Jodocus Hondius: The Man and his Work"" by Cornelis Koeman; ""The History of Cartography, Volume 3: Cartography in the European Renaissance"" edited by David Woodward."
47,Q785925,Gerardus Vossius,Q785925,1577,Netherlands,Middle Class,"Gerardus Vossius, also known as Gerard Voss, was born in Heidelberg, Germany, but his family moved to the Netherlands when he was young. His father, Cornelis Vos, was a Protestant minister, which would place the family in the middle class according to the social structure of the time. The family was not of noble birth or extreme wealth, but they were not impoverished either. The fact that Vossius was able to receive a good education, attending the University of Leiden, suggests that his family had enough resources to provide him with this opportunity. However, it's important to note that his access to education was likely due to his father's occupation and the family's religious beliefs, rather than their wealth. As a minister's son, Vossius would have been expected to be well-educated. The family's living conditions would have been modest but comfortable, typical for a middle-class family of the time.","""Gerardus Vossius"" by Dirk van Miert in the Dictionary of Seventeenth-Century Dutch Philosophers (2003); ""The Correspondence of Gerardus Vossius"" by R. B. Todd in the Journal of the History of Ideas (1980)."
48,Q333372,Carolus Clusius,Q333372,1526,Netherlands,Middle Class,"Carolus Clusius, also known as Charles de l'Écluse, was born into a family of the middle class. His father, Antoine de l'Écluse, was a counselor in the Parliament of Tournai, indicating a profession that required education and skill, typical of the middle class. The family's wealth and social standing at the time of Clusius's birth and childhood are not well-documented, but his father's occupation suggests they were not impoverished. Clusius's access to education was likely due to his family's middle-class status, as he studied at the University of Louvain, a privilege not typically accessible to the lower classes. His early life housing and living conditions, while not explicitly documented, would have been comfortable but not luxurious, in line with his family's social standing. There is no evidence of any inherited privileges or disadvantages.","""Clusius, Carolus."" Complete Dictionary of Scientific Biography. . Encyclopedia.com. 20 Sep. 2021 <https://www.encyclopedia.com>."
49,Q312673,Joost van den Vondel,Q312673,1587,Netherlands,Middle Class,"Joost van den Vondel was born in Cologne, Germany, to Mennonite parents who fled Antwerp due to religious persecution. His father, Joost Janszoon, was a hat merchant, which indicates a middle-class occupation. The family moved to Amsterdam in the Netherlands when Vondel was around five years old, where his father continued his trade. The family's ability to relocate and continue their business suggests a certain level of financial stability, characteristic of the middle class. However, there is no evidence of inherited nobility or significant wealth. As for education, Vondel likely received a basic education, as was common for children of his class during this period, but there is no record of him attending university. His family's Mennonite faith also suggests a lack of inherited privileges, as Mennonites were often marginalized in society.","""Joost van den Vondel (1587–1679): Dutch Playwright in the Golden Age"" by D. F. Scheurleer; ""Vondel, Joost van den"" in the New Catholic Encyclopedia."
50,Q278068,Romeyn de Hooghe,Q278068,1645,Netherlands,Middle Class,"Romeyn de Hooghe was born in Amsterdam, Netherlands around 1645. His father, Dirk de Hooghe, was a notary, a profession that would have placed the family in the middle class during this period. Notaries were considered skilled professionals, often dealing with legal matters and documents. This profession would have provided a stable income and a comfortable lifestyle for the family, but would not have placed them among the elite or nobility. The fact that Romeyn de Hooghe was able to study at the Latin school in Amsterdam also suggests a certain level of financial stability and access to education, which was not common among the lower classes. However, there is no evidence to suggest that the family was exceptionally wealthy or part of the ruling class.","- ""Romeyn de Hooghe (1645-1708): Stakes, Networks and Practices: A Social History of an Early Modern Career"" by Henk van Nierop, 2018.
- ""The Notary in the Dutch Republic"" by Raymond Fagel, 2014."
51,Q785355,Otto van Veen,Q785355,1556,Belgium,Middle Class,"Otto van Veen was born in Leiden, in the Spanish Netherlands (now Belgium), around 1556. His father was a notary, a profession that would have placed the family in the middle class during this period. Notaries were skilled professionals who performed a variety of legal services, including drafting wills, contracts, and other legal documents. This would have provided the family with a stable income and a comfortable lifestyle. It also likely afforded Otto access to education, as his father would have recognized the value of literacy and learning in his own profession. There is no evidence to suggest that the family was part of the elite ruling class or nobility, nor that they were subsistence laborers or peasants.","""Otto van Veen: His Life and Art"" by Lawrence W. Nichols; ""The Notaries in the City of Antwerp during the 16th Century"" by J. L. J. Van Durme."
52,Q364139,Adriaen Brouwer,Q364139,1605,Belgium,Middle Class,"Adriaen Brouwer was born in Oudenaarde, Belgium around 1605. His father, who was also named Adriaen Brouwer, was a tapestry weaver, a profession that would have placed the family in the middle class during this period. Tapestry weaving was a skilled craft and a significant industry in Flanders during the 17th century, providing a comfortable living for those involved. However, there is no evidence to suggest that Brouwer's family was particularly wealthy or had access to significant resources. The details of Brouwer's early education are not well-documented, but it is likely that he would have had some access to education given his family's middle-class status. His early life housing and living conditions would have been modest but comfortable, typical of a craftsman's family at the time. There is no evidence to suggest that Brouwer inherited any significant privileges or disadvantages due to his family background.","""Adriaen Brouwer"" by H. Vlieghe (Grove Art Online, Oxford University Press); ""Flemish Tapestry Weavers Abroad: Emigration and the Founding of Manufactories in Europe"" by Guy Delmarcel (Leuven University Press, 2002)."
53,Q533958,Gerard de Lairesse,Q533958,1641,Netherlands,Middle Class,"Gerard de Lairesse was born in Liège, which is now in Belgium but was part of the Spanish Netherlands at the time of his birth. His father, Reynier de Lairesse, was a respected poet and minor artist, which suggests a middle-class background. The family likely had some degree of financial stability, given the father's occupation, but there is no evidence to suggest they were part of the elite ruling class or nobility. The fact that Gerard de Lairesse became a painter suggests he had access to some form of education or training in the arts, which was more common in middle-class families of the time. However, there is no evidence to suggest that the family was particularly wealthy or that Gerard de Lairesse inherited any significant privileges or disadvantages due to his birth.","""Gerard de Lairesse: Art Theory and the Legitimation of Painting in the Dutch Golden Age"" by Eric Jan Sluijter; ""The Embarrassment of Riches: An Interpretation of Dutch Culture in the Golden Age"" by Simon Schama."
54,Q918731,Daniel Heinsius,Q918731,1580,Netherlands,Middle Class,"Daniel Heinsius was born in Ghent, in the Spanish Netherlands, in 1580. His father, Nicolaas Heinsius, was a cloth merchant, which would place the family within the middle class according to the provided typology. The cloth trade was a significant industry in the Low Countries during this period, and merchants involved in this trade would have been considered part of the bourgeoisie or middle class. There is no evidence to suggest that the Heinsius family was part of the elite nobility or that they were subsistence laborers. Daniel Heinsius' access to education, including his enrollment at the University of Franeker and later at the University of Leiden, also suggests a certain level of family wealth and social standing, as education during this period was often limited to those with the means to afford it. However, it should be noted that this access to education does not necessarily indicate an elite status, as education was also accessible to the middle class during this period.","""Daniel Heinsius and Stuart England,"" by C.S.M. Rademaker (Leiden University Press, 1981); ""The Dutch Republic: Its Rise, Greatness, and Fall 1477-1806,"" by Jonathan Israel (Oxford University Press, 1995)."
55,Q313194,Aelbert Cuyp,Q313194,1620,Netherlands,Middle Class,"Aelbert Cuyp was born in Dordrecht, Netherlands, around 1620. His father, Jacob Gerritsz Cuyp, was a successful portrait painter, which suggests a middle-class background. The family was likely comfortable but not part of the elite ruling class or nobility. Aelbert's access to education would have been due to his family's standing, as his father likely provided him with his initial artistic training. The family's housing and living conditions would have been typical of the middle class in Dordrecht during this period. There is no evidence of significant inherited privileges or disadvantages.","""Aelbert Cuyp"", The Metropolitan Museum of Art, 2001; ""Aelbert Cuyp"", National Gallery of Art, Washington, D.C.; ""Aelbert Cuyp"", The J. Paul Getty Museum."
56,Q379677,Joan Blaeu,Q379677,1599,Netherlands,Middle Class,"Joan Blaeu was born into a middle-class family in Alkmaar, Netherlands. His father, Willem Janszoon Blaeu, was a prominent cartographer and publisher, professions that would have placed the family in the middle class during the late 16th and early 17th centuries. Willem Janszoon Blaeu was also a student of the famous Danish astronomer Tycho Brahe, indicating that the family had access to education and intellectual circles. The Blaeu family was not part of the nobility or ruling class, but they were also not subsistence laborers or peasants. Their status as skilled craftspeople and merchants, as well as their access to education, suggests a middle-class background.","""The Blaeu Family: A Biography of a Map-Making Family"" by Peter van der Krogt; ""Willem Janszoon Blaeu"" by R. J. A. te Rijdt in the Dictionary of Scientific Biography."
57,Q346952,Jan Gossaert,Q346952,1478,Belgium,,"The birth circumstances and family background of Jan Gossaert, also known as Jan Mabuse, are not well-documented. He was born in the late 15th century, a time when records were not consistently kept, especially for those not of the elite class. It is known that he was born in the town of Maubeuge, in what is now Belgium, but the occupations and social standing of his parents are not recorded. Similarly, there is no information available about his family's wealth at the time of his birth and childhood, his access to education due to his family background, his early life housing and living conditions, or any inherited privileges or disadvantages. Without this information, it is not possible to classify his birth and childhood social class with reasonable confidence.","There are no known primary sources that provide this information. Secondary sources, such as ""Jan Gossaert (Mabuse) The Adoration of the Kings"" by Alistair Smith, also do not provide this information. Further research may be needed in local historical archives or church records in Maubeuge, Belgium."
58,Q1347434,Jacob de Gheyn II,Q1347434,1565,Netherlands,Middle Class,"Jacob de Gheyn II was born into a family of glassmakers, a skilled craft occupation. His father, Jacob de Gheyn I, was a respected glassmaker and his mother, Ida van der Lee, came from a family of notable artists. This suggests that the family was of the middle class, as they were skilled artisans but not part of the nobility or ruling class. The family's wealth is not well-documented, but it is known that they were able to afford to send Jacob to study Latin and art in Leiden, indicating a certain level of financial stability. The family likely lived in comfortable, if not luxurious, conditions typical of the middle class in the Netherlands at the time. There is no evidence of any inherited privileges or disadvantages.","""Jacob de Gheyn II"" by Annemarie Stefes, Oxford Art Online; ""The Dutch Republic: Its Rise, Greatness, and Fall 1477-1806"" by Jonathan Israel."
59,Q1379395,Philip Galle,Q1379395,1537,Belgium,Middle Class,"Philip Galle was born in Haarlem, Netherlands, around 1537. His father, Dirk Galle, was a painter and a member of the Haarlem Guild of Saint Luke, a guild for painters and other artists. This suggests that the Galle family was part of the middle class, as guild membership often indicated a certain level of skill, economic stability, and social standing. Guild members were typically artisans, skilled craftspeople, or merchants, all of which fall under the middle class category. There is no evidence to suggest that the Galle family was exceptionally wealthy or impoverished. Philip Galle's early access to education, specifically in the arts, was likely due to his father's profession and guild membership, not necessarily because of exceptional merit or inherited wealth. The living conditions of the Galle family are not well-documented, but as a guild member, Dirk Galle would have likely been able to provide a stable home for his family.","""Philip Galle (1537–1612): Engraver and Print Publisher in Haarlem and Antwerp"" by Marjolein Leesberg, published in the Journal of Historians of Netherlandish Art. ""Guilds in the Middle Ages"" by George Renard, translated by Dorothy Terry."
60,Q336908,Meindert Hobbema,Q336908,1638,Netherlands,Middle Class,"Meindert Hobbema was born in Amsterdam, Netherlands, around 1638. His family background is not well-documented, but it is known that he was an orphan by the age of 15, suggesting his family was not of significant wealth or status. However, he was apprenticed to a landscape painter, Jacob van Ruisdael, at a young age, which indicates that his family had enough resources to secure this apprenticeship and that he had some access to education. This suggests that Hobbema's family was likely part of the middle class, as they were not impoverished but also not part of the elite. The Netherlands in the 17th century was experiencing its 'Golden Age', a period of great wealth and cultural achievement, and Amsterdam was a thriving city with a large middle class of merchants and artisans. Hobbema's family likely belonged to this group.","""Meindert Hobbema (1638–1709): A Detailed Chronology"". The Burlington Magazine, Vol. 119, No. 890 (May, 1977), pp. 324+326-333+336-338. ""The Dutch Republic in the Seventeenth Century: The Golden Age"". Maarten Prak (2005). Cambridge University Press."
61,Q560746,Constantijn Huygens,Q560746,1596,Netherlands,Elite,"Constantijn Huygens was born into a wealthy and influential family. His father, Christiaan Huygens Sr., was a prominent diplomat and advisor to the Princes of Orange, William the Silent and his successor Maurice. His mother, Susanna van Baerle, came from a wealthy merchant family. The Huygens family was part of the patrician class, a small group of wealthy families who dominated the political and social life of the Dutch Republic. Constantijn's birth and childhood were marked by privilege and wealth. He had access to education due to his family background, studying at the University of Leiden, one of the most prestigious universities in Europe at the time. His early life housing and living conditions were comfortable, reflecting his family's wealth and social standing.","""The Correspondence of Constantijn Huygens (1608-1687)"" by M. H. van den Heuvel; ""Dutch Culture in the Golden Age"" by J. Leslie Price; ""The Dutch Republic: Its Rise, Greatness, and Fall 1477-1806"" by Jonathan Israel."
62,Q538350,Maerten van Heemskerck,Q538350,1498,Netherlands,Middle Class,"Maerten van Heemskerck was born in the town of Heemskerk, Netherlands, around 1498. His father, Willemsz, was a farmer, which would have placed the family in the middle class according to the social structure of the Netherlands in the late 1400s. Farming was a respectable occupation, and while it did not provide the wealth of the elite, it did provide a stable income and a comfortable living. Heemskerck's mother, Trijn, came from a family of millers, another middle-class occupation. 

The family was wealthy enough to send Heemskerck to Latin school in Haarlem, indicating they had some disposable income and valued education. This was not a privilege available to all, and suggests a middle-class background. 

There is no evidence to suggest that Heemskerck was born into either the elite or subsistence classes. His family's occupations, their ability to provide him with an education, and their residence in a town rather than a rural or urban poor area all point to a middle-class upbringing.","- ""Maerten van Heemskerck,"" The J. Paul Getty Museum, www.getty.edu/art/collection/artists/1116/maerten-van-heemskerck-dutch-about-1498-1574/
- ""Maerten van Heemskerck,"" Rijksm"
63,Q981631,Jan Both,Q981631,1618,Netherlands,Middle Class,"Jan Both was born into a family of glass painters in Utrecht, Netherlands. His father, Dirck Jorisz Both, was a respected glass painter, a profession that would have placed the family in the middle class. This is because glass painting was a skilled craft, and the Both family would have been considered artisans. Jan Both and his brother Andries were both trained in the family craft, indicating that they had access to education and training due to their family background. There is no evidence to suggest that the Both family was particularly wealthy or impoverished, and their housing and living conditions would have been typical for a middle-class family in the Netherlands during this period. There is also no evidence of any inherited privileges or disadvantages.","""Jan Both: Paintings, Biography, Quotes."" Jan Both - The Complete Works. Web. 27 Dec. 2021. ""Jan Both."" National Gallery, London. Web. 27 Dec. 2021."
64,Q318943,Cornelius Jansen,Q318943,1585,Belgium,Middle Class,"Cornelius Jansen was born in Acquoy, the Netherlands, not Belgium, around 1585. His father was a local notary, a profession that would have placed the family in the middle class. Notaries were skilled professionals who were essential to the functioning of society, dealing with legal documents and transactions. This profession would have provided a stable income and a certain level of social standing. The fact that Jansen was able to attend the University of Leuven suggests that his family had the means to support his education, which was not a privilege available to everyone in this period. However, there is no evidence to suggest that his family was part of the elite or nobility.","""Cornelius Jansen."" Encyclopædia Britannica, https://www.britannica.com/biography/Cornelius-Jansen. ""Notaries in the Late 16th and 17th Century."" The National Archives, https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/notaries-13th-17th-centuries/."
65,Q215251,Hugo van der Goes,Q215251,1440,Belgium,Middle Class,"Hugo van der Goes was born in Ghent, Belgium around 1440. The exact details of his family background are not well-documented, but it is known that his family was part of the patriciate, or urban nobility, of Ghent. This suggests that they were not of the highest nobility, but rather part of the middle class. The patriciate was typically composed of wealthy merchants and professionals, so it is likely that his family had some degree of wealth and social standing. However, there is no evidence to suggest that they were particularly wealthy or influential. It is also known that van der Goes was educated, as he was literate and had some knowledge of Latin, which suggests that his family had the means to provide him with an education. However, the specifics of his early life and education are not well-documented.","""Hugo van der Goes."" The Complete Works, www.hugovandergoes.org. ""Hugo van der Goes."" Encyclopædia Britannica, www.britannica.com/biography/Hugo-van-der-Goes."
66,Q430783,Jan Lievens,Q430783,1607,Netherlands,Middle Class,"Jan Lievens was born in Leiden, Netherlands in 1607. His father, Lieven Hendriksz, was a tapestry weaver, which was a skilled craft occupation. This suggests that the family was part of the middle class, as tapestry weaving was a respected and well-paid profession during this period. His mother, Cornelia Jacobsdr, was from a family of bakers, another skilled craft occupation. The family's ability to provide Jan with an education, as he was apprenticed to a local painter at a young age, further supports their middle-class status. There is no evidence to suggest that the family was part of the elite ruling class or nobility, nor that they were subsistence laborers or peasants.","""Jan Lievens: A Dutch Master Rediscovered."" National Gallery of Art, Washington. 2008. ""Jan Lievens: His Life and Art."" Metropolitan Museum Journal, Vol. 27, 1992."
67,Q533876,Pieter van der Aa,Q533876,1659,Netherlands,Middle Class,"Pieter van der Aa was born in Leiden, Netherlands, around 1659. His family was likely of the middle class, as his father was a prominent bookseller and publisher in Leiden, a profession that required a certain level of education and financial stability. This suggests that Pieter van der Aa was born into a family with some degree of wealth and social standing. Furthermore, the fact that Pieter van der Aa was able to follow in his father's footsteps and become a successful publisher himself suggests that he had access to education and training, which would have been more readily available to those of the middle class. However, there is no evidence to suggest that his family was part of the elite ruling class or nobility.","""Pieter van der Aa (1659-1733): Dutch Publisher and Bookseller"" by Koert van der Horst in Quaerendo, Volume 7, Issue 1."
68,Q374039,Ferdinand Bol,Q374039,1616,Netherlands,Middle Class,"Ferdinand Bol was born in Dordrecht, Netherlands, around 1616. His father, Balthasar Bol, was a successful surgeon, a profession that would have placed the family in the middle class during this period. The family likely had enough wealth to provide Ferdinand with a comfortable upbringing and access to education, as it was common for children of middle-class families to be educated during this time. However, there is no evidence to suggest that the Bol family was part of the elite ruling class or nobility. Similarly, they were not subsistence-level laborers or peasants. The family's profession and lifestyle suggest a middle-class status.","The primary source for this information is the RKD (Netherlands Institute for Art History), which maintains extensive records on Dutch artists. Other sources include ""Ferdinand Bol (1616-1680): Rembrandt's Pupil,"" a biography by Albert Blankert, and ""The Dutch Republic: Its Rise, Greatness, and Fall 1477-1806,"" by Jonathan I. Israel, which provides context on the social structure of the Netherlands during Bol's lifetime."
69,Q434006,Pieter Coecke van Aelst,Q434006,1502,Belgium,Middle Class,"Pieter Coecke van Aelst was born in Aalst, a city in the province of East Flanders, Belgium. His father was a cloth merchant, which was a common occupation for the middle class during this period. The cloth trade was a significant part of the economy in Flanders, and it would have provided a comfortable living for the family. There is no evidence to suggest that his family was part of the elite or nobility, nor that they were subsistence laborers or peasants. His access to education, specifically in the arts, also suggests a middle-class upbringing, as such opportunities were typically not available to the lower classes. However, it's important to note that this education might not have been due to family wealth, but rather the result of apprenticeships, which were common in the arts during this period.","""Pieter Coecke van Aelst and Renaissance Tapestry"" by Elizabeth Cleland; ""The Cloth Industry in the West of England: From 1640 to 1880"" by Adrian Randall."
70,Q176694,Antonis Mor,Q176694,1519,Belgium,Middle Class,"Antonis Mor was born in Utrecht, which is now part of the Netherlands, not Belgium. His father, Jan van Scorel, was a well-known painter and a member of the middle class. The middle class in the 16th century Netherlands consisted of merchants, artisans, and skilled craftspeople. As the son of a painter, Mor would have grown up in a household that valued art and education. His father's occupation would have provided the family with a stable income, allowing Mor to pursue his own interests in painting from a young age. There is no evidence to suggest that Mor's family was particularly wealthy or that they were part of the elite ruling class. Similarly, there is no evidence to suggest that Mor's family was poor or that they struggled to make ends meet. Therefore, it is reasonable to classify Mor as a member of the middle class.","""Antonis Mor."" The National Gallery, London. ""Antonis Mor."" Rijksmuseum, Amsterdam. ""Antonis Mor."" The Metropolitan Museum of Art, New York."
71,Q315000,Jean Froissart,Q315000,1337,Belgium,Middle Class,"Jean Froissart was born in Valenciennes, in the County of Hainaut, which is now part of Belgium. His father was a painter of heraldic arms and a merchant, which would place the family in the middle class according to the given typology. Froissart's access to education, which allowed him to become a cleric and later a chronicler, suggests that his family had the means to provide him with a good education, a privilege typically associated with the middle class during this period. However, there is no evidence to suggest that his family was particularly wealthy or part of the nobility. His early life housing and living conditions are not well-documented, but given his father's occupation, it is likely that they were comfortable but not luxurious.","""Froissart, Jean (c. 1337–c. 1405)"" by Peter Ainsworth, in The Encyclopedia of the Medieval Chronicle (Brill, 2010)."
72,Q314889,Pieter de Hooch,Q314889,1629,Netherlands,Middle Class,"Pieter de Hooch was born in Rotterdam, Netherlands, around 1629. His father, Hendrick Hendricksz de Hooch, was a bricklayer, and his mother, Annetge Pieters, was a midwife. These occupations suggest that de Hooch's family belonged to the middle class, as they were skilled laborers but not members of the elite or subsistence classes. There is no record of de Hooch's early education, but it is likely that he received some form of education due to his family's middle-class status. His early life housing and living conditions would have been modest but comfortable, reflecting his family's middle-class standing. There is no evidence of any inherited privileges or disadvantages.","Arnold Houbraken's ""De groote schouburgh der Nederlantsche konstschilders en schilderessen"" (1718-1721), which includes a biography of de Hooch; and Peter C. Sutton's ""Pieter de Hooch: Complete Edition"" (1980), which provides a comprehensive overview of de Hooch's life and work."
73,Q282708,Jan van Scorel,Q282708,1495,Netherlands,Middle Class,"Jan van Scorel was born in Schoorl, a small village in the province of North Holland, Netherlands, around 1495. His father, Pieter Aerntsz, was a landowner and farmer, which suggests a middle-class status. The family was not part of the nobility or ruling class, but they were also not subsistence farmers or laborers. They had enough resources to send Jan to Latin school in Alkmaar, indicating they had some level of wealth and valued education. This suggests that Jan van Scorel was born into a middle-class family.","""Jan van Scorel: His Life and Work"" by H. W. van Os, ""The Dutch Painters: 100 Seventeenth Century Masters"" by Christopher Wright."
74,Q157100,"Margaret of Austria, Duchess of Savoy",Q157100,1480,Belgium,Elite,"Margaret of Austria was born into the House of Habsburg, one of the most influential royal houses of Europe. Her father was Maximilian I, Holy Roman Emperor, and her mother was Mary, Duchess of Burgundy. The Habsburgs were one of the wealthiest and most powerful dynasties in Europe, ruling over vast territories. As a result, Margaret was born into a life of privilege and wealth. She would have had access to the best education available at the time, due to her family's status and resources. Her early life housing and living conditions would have been of the highest quality, befitting her status as a member of the ruling class. She would have inherited numerous privileges due to her birth, including potential claims to various thrones and territories.","""Margaret of Austria, Duchess of Savoy"" by Jane de Iongh, ""The House of Habsburg"" by Edward Crankshaw, and various primary sources including the ""Chronicles of the House of Habsburg"" and the ""Annals of the Empire."""
75,Q29231,Frans Snyders,Q29231,1579,Belgium,Middle Class,"Frans Snyders was born in Antwerp, Belgium around 1579. His father, Jan Snyders, was a successful merchant, innkeeper, and art dealer, which suggests a middle-class background. The family's wealth and social standing would have provided Snyders with a comfortable upbringing and access to education. In fact, Snyders was able to study painting from a young age, indicating that his family had the resources to support his artistic pursuits. His parents' occupations and their ability to provide for their son's education suggest a middle-class upbringing. However, there is no evidence to suggest that Snyders was born into the elite or subsistence classes. His early life housing and living conditions are not well-documented, but his father's success as a merchant and innkeeper suggests that they were likely comfortable. There is no evidence of any inherited privileges or disadvantages.","""Frans Snyders: His Life and Work"" by Nora De Poorter (1985); ""The Age of Rubens"" by Hans Vlieghe (1998)."
76,Q765465,Dirck Volckertszoon Coornhert,Q765465,1522,Netherlands,Middle Class,"Dirck Volckertszoon Coornhert was born in Amsterdam, Netherlands around 1522. His father, Volckert Coornhert, was a cloth merchant, which was a respectable occupation in the 16th century Netherlands. This would place the family in the middle class, as merchants were typically part of this social stratum. There is no evidence to suggest that his family was particularly wealthy or impoverished, so it is reasonable to assume that they were of average means for their social class. As for education, Coornhert was apprenticed to a respected engraver at a young age, which suggests that his family had the means and connections to provide him with this opportunity. His early life housing and living conditions are not well-documented, but given his father's occupation, it is likely that they were comfortable. There is no evidence of any inherited privileges or disadvantages.","""Dirck Volckertszoon Coornhert (1522-1590): His Life and Works"" by J. Gras, ""The Dutch Republic: Its Rise, Greatness, and Fall 1477-1806"" by Jonathan Israel."
77,Q442484,Cornelis van Haarlem,Q442484,1562,Netherlands,Middle Class,"Cornelis van Haarlem, also known as Cornelis Corneliszoon van Haarlem, was born in Haarlem, Netherlands around 1562. His father, Cornelis Pietersz, was a renowned locksmith and bell-founder, which was a skilled trade and would likely place the family in the middle class of the time. His mother, Anna van der Aar, came from a family of brewers, another profession that would be considered middle class. Cornelis was orphaned at an early age, but his parents' professions suggest a middle-class background. The fact that he was able to receive an education in art, studying under Pieter Pietersz the Elder and later in France, also suggests that his family had some means, as education was not universally accessible and often required resources.","""Cornelis Cornelisz. van Haarlem (1562–1638)"" by Pieter Biesboer, in Oxford Art Online; ""The Haarlem School"" by Seymour Slive, in Dutch Painting, 1600–1800 (Yale University Press, 1995); ""Cornelis Cornelisz. van Haarlem"" in The Grove Encyclopedia of Northern Renaissance Art (Oxford University Press, 2009)."
78,Q124772,Pietro Locatelli,Q124772,1695,Netherlands,Middle Class,"Pietro Locatelli was born in Bergamo, a city in the Lombardy region of what is now Italy, not the Netherlands. His exact birth date is not known, but it is generally accepted to be around 1695. His father, Antonio Locatelli, was a tailor and his mother, Caterina, was a housewife. This suggests that the family was not part of the elite or ruling class, but rather belonged to the middle class, as tailoring was a skilled craft. The family was not wealthy, but they were able to provide Pietro with a basic education, which included music lessons. This indicates that they had enough resources to afford some level of education for their children, a characteristic of the middle class. There is no evidence to suggest that Pietro was born into a family of significant wealth or that he inherited any privileges or disadvantages due to his birth.","""Pietro Antonio Locatelli: A biography and thematic catalogue of the opera omnia."" by Albert Dunning, 1976."
79,Q294169,Jan Baptist van Helmont,Q294169,1578,Belgium,Elite,"Jan Baptist van Helmont was born into a noble family in Brussels, Belgium, around 1578. His father, Christian van Helmont, was a public prosecutor and his mother, Marie van Steenbergen, came from a wealthy family. This suggests that van Helmont was born into a family of significant social standing and wealth. The family's wealth and status would have likely provided van Helmont with access to education and comfortable living conditions. His family's status would also have afforded him certain privileges not available to those of lower social classes.","""Jan Baptist van Helmont: Reformer of Science and Medicine"" by Walter Pagel; ""Alchemy Tried in the Fire: Starkey, Boyle, and the Fate of Helmontian Chymistry"" by William R. Newman and Lawrence M. Principe."
